cloudiness,country,dt,humidity,lat,lon,max_temperature,wind_speed
98,NC,1567227558,82,-21.55,167.88,73.49,22.88
20,BR,1567227558,94,-1.76,-48.8,75.2,2.24
1,US,1567227558,88,38.18,-83.43,71.6,1.43
75,KZ,1567227558,54,47.8,67.71,53.6,22.37
0,ZA,1567227558,75,-30.97,22.13,39.11,18.77
100,RU,1567227559,89,53.51,142.97,56.39,14.88
40,NO,1567227559,93,71,24.66,53.6,16.11
0,RU,1567227559,71,59.08,159.95,48.65,7.02
67,IE,1567226997,95,54.11,-9.15,54,1.99
85,NG,1567227560,90,12.18,6.51,73.49,6.55
26,AR,1567227560,61,-38.31,-60.23,40.37,6.06
45,BR,1567227560,82,-18.76,-44.43,60.35,5.23
5,RU,1567227560,97,53.81,40.7,54,5.19
0,FR,1567227560,72,48.39,5.49,62.6,6.35
20,TR,1567227561,72,40.15,26.41,68,16.11
90,AU,1567227561,59,-34.58,150.85,66,6.93
90,PE,1567227561,29,-6.54,-80.02,66.2,12.75
0,ID,1567227561,50,-5.36,104.98,86.45,8.05
32,NE,1567226983,56,13.21,12.02,82.13,11.21
20,US,1567227508,82,43.05,-76.15,64.4,3.27
100,RU,1567227562,95,57.51,72.4,48.29,7.23
33,AR,1567227562,58,-43.25,-65.31,43.97,15.21
40,US,1567227562,100,46.74,-90.88,59,4.88
75,SB,1567227562,78,-8.15,159.59,81.95,8.57
90,OM,1567227563,88,17.01,54.1,78.8,4.7
100,IS,1567227563,86,64.25,-15.21,32.27,16.44
75,JP,1567227563,79,34.7,138.93,87.8,19.46
40,CA,1567227563,100,50.2,-66.38,57.99,5.82
91,SE,1567227564,100,57.64,18.3,55.4,3.36
0,IN,1567227564,40,28.76,75.98,98.51,2.84
0,GL,1567226998,28,69.22,-51.1,44.6,5.82
39,IN,1567227564,66,23.26,82.56,85.01,5.1
75,CU,1567227564,94,21.11,-76.13,73.4,5.82
85,ID,1567227565,74,4.14,96.13,82.85,8.48
1,US,1567227565,87,40.6,-124.16,62.01,13.35
74,UA,1567227369,84,49.76,27.2,68.63,5.95
20,MG,1567227565,82,-19.39,47.43,55.4,2.24
75,CA,1567227565,76,48.65,-53.11,60.01,12.86
100,BR,1567227566,91,-30.17,-50.22,61.43,7.74
72,NP,1567227566,86,28.21,83.99,64.85,5.97
0,FR,1567227566,77,45.22,1.9,66.99,4.7
100,MV,1567227566,72,3.78,72.97,82.31,7.18
0,RU,1567226987,55,50.71,36.69,60.8,4.47
100,MM,1567227566,90,16.08,97.57,78.53,11.81
22,CA,1567226984,71,50.56,-96.99,55,6.89
71,FI,1567227543,72,63.32,30.02,60.53,6.26
57,BR,1567227567,77,-2.92,-39.92,77.09,10.09
75,MY,1567227567,66,2.29,111.83,89.6,3.36
100,CN,1567227567,73,31.15,106.5,72.77,5.28
20,US,1567227568,88,41.28,-70.1,71.01,8.37
85,US,1567226977,88,37.17,-99.65,69.01,13
20,IL,1567227568,74,32.82,35,82.4,3.36
90,CA,1567226994,100,63.75,-68.52,39.2,8.05
75,RU,1567227568,88,43.36,132.19,66.2,8.95
85,RU,1567227569,62,55.93,158.7,52.25,6.91
80,AU,1567227569,20,-20.74,116.85,89.51,7.85
0,PT,1567227569,47,37.14,-8.45,75.2,4.7
